股票代码,股票名称,交易日期,开盘价,最高价,最低价,收盘价,前收盘价,成交量,成交额,流通市值,总市值,涨跌幅,收盘价_复权,开盘价_复权,最高价_复权,最低价_复权
bj430090,同辉信息,2022-01-14,8.84,9.42,8.67,9.07,9.05,8861413.0,79965610.0,806434044.0100001,1390734817.79,0.0022099447513812542,9.070000000000002,8.840000000000002,9.420000000000002,8.670000000000002
bj430090,同辉信息,2022-01-17,9.3,11.76,9.17,11.4,9.07,22047796.0,236340093.0,1013599570.2,1748001865.8000002,0.25689084895259096,11.400000000000004,9.300000000000002,11.760000000000003,9.170000000000002
bj430090,同辉信息,2022-01-18,11.11,11.4,9.45,9.52,11.4,18169669.0,185949539.0,846444553.36,1459734891.4399998,-0.16491228070175445,9.520000000000001,11.110000000000003,11.400000000000004,9.450000000000001
bj430090,同辉信息,2022-01-19,9.32,10.13,9.12,9.89,9.52,10127839.0,99443067.0,879342083.27,1516468285.33,0.03886554621848748,9.890000000000002,9.320000000000002,10.130000000000003,9.120000000000001
bj430090,同辉信息,2022-01-20,9.68,11.33,9.53,10.05,9.89,16050746.0,168640091.0,893568042.15,1541001644.85,0.016177957532861553,10.050000000000004,9.680000000000003,11.330000000000004,9.530000000000003
bj430090,同辉信息,2022-01-21,9.99,10.48,9.5,9.73,10.05,9758798.0,96614147.0,865116124.39,1491934925.81,-0.03184079601990053,9.730000000000004,9.990000000000004,10.480000000000006,9.500000000000004
bj430090,同辉信息,2022-01-24,9.76,10.22,9.52,9.6,9.73,6781659.0,66583559.0,853557532.8000001,1472001571.1999998,-0.013360739979445091,9.600000000000003,9.760000000000003,10.220000000000004,9.520000000000003
bj430090,同辉信息,2022-01-25,9.45,9.61,8.7,8.74,9.6,7139329.0,64817415.0,777093003.82,1340134763.78,-0.08958333333333324,8.740000000000004,9.450000000000003,9.610000000000003,8.700000000000003
bj430090,同辉信息,2022-01-26,8.71,9.05,8.4,8.8,8.74,4294701.0,37249985.0,782427738.4,1349334773.6,0.006864988558352492,8.800000000000004,8.710000000000004,9.050000000000004,8.400000000000004
bj430090,同辉信息,2022-01-27,8.9,8.9,8.2,8.23,8.8,4483160.0,37876829.0,731747759.89,1261934680.31,-0.06477272727272732,8.230000000000004,8.900000000000004,8.900000000000004,8.200000000000003
bj430090,同辉信息,2022-01-28,8.4,8.65,8.23,8.34,8.23,3343723.0,28157800.0,741528106.62,1278801364.98,0.013365735115431265,8.340000000000003,8.400000000000004,8.650000000000004,8.230000000000004
bj430090,同辉信息,2022-02-07,8.39,8.73,8.39,8.5,8.34,3132497.0,26853293.0,755754065.5,1303334724.5,0.01918465227817756,8.500000000000004,8.390000000000004,8.730000000000004,8.390000000000004
bj430090,同辉信息,2022-02-08,8.5,8.77,8.41,8.75,8.5,3252488.0,28022111.0,777982126.25,1341668098.75,0.02941176470588225,8.750000000000004,8.500000000000004,8.770000000000003,8.410000000000004
bj430090,同辉信息,2022-02-09,8.74,9.33,8.67,9.21,8.75,5342594.0,48841916.0,818881758.0300001,1412201507.37,0.05257142857142871,9.210000000000004,8.740000000000004,9.330000000000005,8.670000000000003
bj430090,同辉信息,2022-02-10,9.25,9.25,8.78,8.8,9.21,4358900.0,38795394.0,782427738.4,1349334773.6,-0.0445168295331162,8.800000000000004,9.250000000000004,9.250000000000004,8.780000000000003
bj430090,同辉信息,2022-02-11,8.78,8.78,8.05,8.16,8.8,5015093.0,41491015.0,725523902.88,1251201335.52,-0.07272727272727275,8.160000000000002,8.780000000000001,8.780000000000001,8.050000000000002
bj430090,同辉信息,2022-02-14,7.99,8.28,7.86,8.2,8.16,2815919.0,22782953.0,729080392.6,1257334675.4,0.004901960784313708,8.200000000000003,7.990000000000004,8.280000000000003,7.860000000000003
bj430090,同辉信息,2022-02-15,8.23,8.35,8.07,8.1,8.2,2232140.0,18238501.0,720189168.3000001,1242001325.7,-0.012195121951219523,8.100000000000003,8.230000000000004,8.350000000000003,8.070000000000004
bj430090,同辉信息,2022-02-16,8.29,8.3,8.02,8.1,8.1,2283520.0,18561251.0,720189168.3000001,1242001325.7,0.0,8.100000000000003,8.290000000000003,8.300000000000004,8.020000000000003
bj430090,同辉信息,2022-02-17,8.09,8.16,7.38,7.6,8.1,5637365.0,43827250.0,675733046.8,1165334577.2,-0.06172839506172845,7.600000000000002,8.090000000000002,8.160000000000002,7.380000000000003
bj430090,同辉信息,2022-02-18,7.51,7.73,7.51,7.56,7.6,1616519.0,12311695.0,672176557.08,1159201237.32,-0.0052631578947368585,7.560000000000003,7.510000000000003,7.730000000000004,7.510000000000003
bj430090,同辉信息,2022-02-21,7.61,8.27,7.61,7.96,7.56,3776110.0,30097338.0,707741454.2800001,1220534636.12,0.05291005291005302,7.9600000000000035,7.610000000000003,8.270000000000003,7.610000000000003
